Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone,Fußnote(n),DC,ZIP,comments
HE,Darmstadt,06411000,Darmstadt,1,,06411,,
HE,Frankfurt am Main,06412000,Frankfurt am Main,1,,06412,,
HE,Offenbach am Main,06413000,Offenbach am Main,1,,06413,,
HE,Wiesbaden,06414000,Wiesbaden,1,,06414,,
HE,Bergstraße,06431001,Abtsteinach,2,,06431,,indicated ZIP codes are zone 1
HE,Bergstraße,06431002,Bensheim,1,,06431,64625,covered by DC rule!
HE,Bergstraße,06431003,Biblis,1,,06431,68647,covered by DC rule!
HE,Bergstraße,06431004,Birkenau,2,,06431,,covered by DC rule!
HE,Bergstraße,06431005,Bürstadt,1,,06431,68642,covered by DC rule!
HE,Bergstraße,06431006,Einhausen,1,,06431,64683,covered by DC rule!
HE,Bergstraße,06431007,Fürth,2,,06431,,covered by DC rule!
HE,Bergstraße,06431008,Gorxheimertal,2,,06431,,covered by DC rule!
HE,Bergstraße,06431009,Grasellenbach,2,,06431,,covered by DC rule!
HE,Bergstraße,06431010,Groß-Rohrheim,1,,06431,68649,covered by DC rule!
HE,Bergstraße,06431011,Heppenheim (Bergstraße),2,,06431,,covered by DC rule!
HE,Bergstraße,06431012,Hirschhorn (Neckar),2,,06431,,covered by DC rule!
HE,Bergstraße,06431013,Lampertheim,1,,06431,68623,covered by DC rule!
HE,Bergstraße,06431014,Lautertal (Odenwald),2,,06431,,covered by DC rule!
HE,Bergstraße,06431015,Lindenfels,2,,06431,,covered by DC rule!
HE,Bergstraße,06431016,Lorsch,1,,06431,64653,covered by DC rule!
HE,Bergstraße,06431017,Mörlenbach,2,,06431,,covered by DC rule!
HE,Bergstraße,06431018,Neckarsteinach,2,,06431,,covered by DC rule!
HE,Bergstraße,06431019,Rimbach,2,,06431,,covered by DC rule!
HE,Bergstraße,06431020,Viernheim,1,,06431,68519,covered by DC rule!
HE,Bergstraße,06431021,Wald-Michelbach,2,,06431,,covered by DC rule!
HE,Bergstraße,06431022,Zwingenberg,1,,06431,64673,covered by DC rule!
HE,Bergstraße,06431200,"Michelbuch, gemfr. Gebiet",2,,06431,,covered by DC rule!
HE,Darmstadt-Dieburg,06432001,Alsbach-Hähnlein,1,,06432,64665,covered by DC rule!
HE,Darmstadt-Dieburg,06432002,Babenhausen,1,,06432,64832,covered by DC rule!
HE,Darmstadt-Dieburg,06432003,Bickenbach,1,,06432,64404,covered by DC rule!
HE,Darmstadt-Dieburg,06432004,Dieburg,2,,06432,,indicated ZIP codes are zone 1
HE,Darmstadt-Dieburg,06432005,Eppertshausen,1,,06432,64859,covered by DC rule!
HE,Darmstadt-Dieburg,06432006,Erzhausen,1,,06432,64390,covered by DC rule!
HE,Darmstadt-Dieburg,06432007,Fischbachtal,2,,06432,,covered by DC rule!
HE,Darmstadt-Dieburg,06432008,Griesheim,1,,06432,64347,covered by DC rule!
HE,Darmstadt-Dieburg,06432009,Groß-Bieberau,2,,06432,,covered by DC rule!
HE,Darmstadt-Dieburg,06432010,Groß-Umstadt,2,,06432,,covered by DC rule!
HE,Darmstadt-Dieburg,06432011,Groß-Zimmern,2,,06432,,covered by DC rule!
HE,Darmstadt-Dieburg,06432012,Messel,1,,06432,64409,covered by DC rule!
HE,Darmstadt-Dieburg,06432013,Modautal,2,,06432,,covered by DC rule!
HE,Darmstadt-Dieburg,06432014,Mühltal,2,,06432,,covered by DC rule!
HE,Darmstadt-Dieburg,06432015,Münster,1,,06432,64839,covered by DC rule!
HE,Darmstadt-Dieburg,06432016,Ober-Ramstadt,2,,06432,,covered by DC rule!
HE,Darmstadt-Dieburg,06432017,Otzberg,2,,06432,,covered by DC rule!
HE,Darmstadt-Dieburg,06432018,Pfungstadt,1,,06432,64319,covered by DC rule!
HE,Darmstadt-Dieburg,06432019,Reinheim,2,,06432,,covered by DC rule!
HE,Darmstadt-Dieburg,06432020,Roßdorf,2,,06432,,covered by DC rule!
HE,Darmstadt-Dieburg,06432021,Schaafheim,1,,06432,64850,covered by DC rule!
HE,Darmstadt-Dieburg,06432022,Seeheim-Jugenheim,2,,06432,,covered by DC rule!
HE,Darmstadt-Dieburg,06432023,Weiterstadt,1,,06432,64331,covered by DC rule!
HE,Groß-Gerau,alle,alle,1,,06433,,
HE,Hochtaunuskreis,06434001,Bad Homburg v.d. Höhe,2,,06434,,indicated ZIP codes are zone 1
HE,Hochtaunuskreis,06434002,Friedrichsdorf,2,,06434,,covered by DC rule!
HE,Hochtaunuskreis,06434003,Glashütten,2,,06434,,covered by DC rule!
HE,Hochtaunuskreis,06434004,Grävenwiesbach,2,,06434,,covered by DC rule!
HE,Hochtaunuskreis,06434005,Königstein im Taunus,2,,06434,,covered by DC rule!
HE,Hochtaunuskreis,06434006,Kronberg im Taunus,1,,06434,61476,covered by DC rule!
HE,Hochtaunuskreis,06434007,Neu-Anspach,2,,06434,,covered by DC rule!
HE,Hochtaunuskreis,06434008,Oberursel (Taunus),2,,06434,,covered by DC rule!
HE,Hochtaunuskreis,06434009,Schmitten,2,,06434,,covered by DC rule!
HE,Hochtaunuskreis,06434010,Steinbach (Taunus),1,,06434,61449,covered by DC rule!
